Designator,Footprint,Quantity,Value,LCSC Part #
"C1_10, C1_9, C1_8, C1_7, C1_6, C1_5, C1_4, C1_3, C1_2, C1, C2_10, C2_9, C2_8, C2_7, C2_6, C2_5, C2_4, C2_3, C2_2, C2",0603,20,100nF,
"R1_10, R1_9, R1_8, R1_7, R1_6, R1_5, R1_4, R1_3, R1_2, R1, R2_10, R2_9, R2_8, R2_7, R2_6, R2_5, R2_4, R2_3, R2_2, R2, R3_10, R3_9, R3_8, R3_7, R3_6, R3_5, R3_4, R3_3, R3_2, R3, R4_10, R4_9, R4_8, R4_7, R4_6, R4_5, R4_4, R4_3, R4_2, R4",0603,40,4k7,C23162
"U1_10, U1_9, U1_8, U1_7, U1_6, U1_5, U1_4, U1_3, U1_2, U1",Bosch_LGA-14_3x2.5mm_P0.5mm,10,LSM6DSV,C5267406
