Designator,Mid X,Mid Y,Rotation,Layer
C1,125.37,-92.43,180,top
C2,128.18,-89.62,90,top
R1,117.85,-87.3225,90,top
R2,122.1,-86.5725,180,top
R3,125.375,-86.5725,0,top
R4,119.6,-87.3225,90,top
U1,125,-89.5,0,top
